Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotBattleLearningBrain,6.134,3824.011,10.008,32616,0.149
RobotBattleLearningBrain,7.360,3850.283,17.424,32428,0.149
RobotBattleLearningBrain,6.074,3868.898,11.636,32452,0.149
RobotBattleLearningBrain,4.938,3891.523,16.261,32558,0.148
RobotBattleLearningBrain,7.703,3911.077,10.758,32466,0.148
RobotBattleLearningBrain,5.416,3929.256,11.882,32452,0.148
RobotBattleLearningBrain,5.578,3945.424,9.893,32490,0.148
RobotBattleLearningBrain,4.593,3960.283,9.579,32558,0.148
RobotBattleLearningBrain,4.622,3974.830,9.247,32506,0.148
RobotBattleLearningBrain,4.552,3989.537,9.450,32374,0.148
RobotBattleLearningBrain,4.573,4004.049,9.259,32524,0.147
RobotBattleLearningBrain,4.646,4018.742,9.350,32518,0.147
RobotBattleLearningBrain,4.561,4033.454,9.460,32490,0.147
RobotBattleLearningBrain,4.566,4049.118,10.390,32490,0.147
RobotBattleLearningBrain,4.584,4063.860,9.455,32424,0.147
RobotBattleLearningBrain,4.694,4079.262,10.007,32528,0.147
RobotBattleLearningBrain,4.524,4093.869,9.390,32520,0.147
RobotBattleLearningBrain,4.459,4108.531,9.503,32526,0.147
RobotBattleLearningBrain,4.498,4123.051,9.342,32452,0.146
RobotBattleLearningBrain,4.507,4137.596,9.347,32524,0.146
RobotBattleLearningBrain,4.476,4152.374,9.608,32522,0.146
RobotBattleLearningBrain,4.456,4167.089,9.550,32390,0.146
RobotBattleLearningBrain,4.640,4181.694,9.281,32524,0.146
RobotBattleLearningBrain,4.496,4196.246,9.369,32522,0.146
RobotBattleLearningBrain,4.584,4210.772,9.261,32396,0.146
RobotBattleLearningBrain,4.496,4225.006,9.058,32580,0.145
RobotBattleLearningBrain,4.541,4239.303,9.076,32462,0.145
RobotBattleLearningBrain,4.534,4253.834,9.279,32522,0.145
RobotBattleLearningBrain,4.514,4268.041,9.013,32452,0.145
RobotBattleLearningBrain,4.537,4282.400,9.140,32526,0.145
RobotBattleLearningBrain,4.541,4296.704,9.080,32430,0.144
RobotBattleLearningBrain,4.512,4310.980,9.077,32520,0.144
RobotBattleLearningBrain,4.573,4325.350,9.121,32526,0.144
RobotBattleLearningBrain,4.592,4339.653,9.027,32452,0.144
RobotBattleLearningBrain,4.483,4353.989,9.160,32432,0.144
RobotBattleLearningBrain,4.552,4368.514,9.247,32524,0.144
RobotBattleLearningBrain,4.563,4382.965,9.191,32524,0.144
RobotBattleLearningBrain,4.598,4397.332,9.091,32454,0.143
RobotBattleLearningBrain,4.535,4411.604,9.057,32564,0.144
RobotBattleLearningBrain,4.564,4426.039,9.181,32488,0.143
RobotBattleLearningBrain,4.527,4441.020,9.773,32524,0.143
RobotBattleLearningBrain,4.557,4455.452,9.176,32432,0.143
RobotBattleLearningBrain,4.596,4469.971,9.228,32456,0.143
RobotBattleLearningBrain,4.537,4484.284,9.089,32494,0.144
RobotBattleLearningBrain,4.528,4498.592,9.104,32470,0.144
RobotBattleLearningBrain,4.559,4512.958,9.127,32530,0.144
RobotBattleLearningBrain,4.518,4527.368,9.189,32566,0.144
RobotBattleLearningBrain,4.538,4541.733,9.128,32446,0.144
RobotBattleLearningBrain,4.614,4555.989,8.967,32526,0.144
RobotBattleLearningBrain,4.505,4570.433,9.239,32490,0.144
RobotBattleLearningBrain,4.505,4584.725,9.100,32490,0.144
RobotBattleLearningBrain,4.521,4600.896,10.980,32432,0.144
RobotBattleLearningBrain,4.564,4615.221,9.071,32558,0.144
RobotBattleLearningBrain,4.560,4629.423,8.965,32454,0.144
RobotBattleLearningBrain,4.494,4644.017,9.389,32522,0.143
RobotBattleLearningBrain,4.611,4658.450,9.131,32522,0.143
RobotBattleLearningBrain,4.557,4673.070,9.359,32434,0.144
RobotBattleLearningBrain,4.604,4687.415,9.060,32450,0.143
RobotBattleLearningBrain,4.450,4701.603,9.045,32556,0.143
RobotBattleLearningBrain,4.524,4715.906,9.093,32394,0.143
RobotBattleLearningBrain,4.532,4730.269,9.144,32618,0.143
RobotBattleLearningBrain,4.590,4744.642,9.093,32454,0.143
RobotBattleLearningBrain,4.436,4758.882,9.104,32504,0.143
RobotBattleLearningBrain,4.515,4773.198,9.099,32454,0.143
RobotBattleLearningBrain,4.532,4787.632,9.206,32526,0.143
RobotBattleLearningBrain,4.556,4801.904,9.039,32522,0.143
RobotBattleLearningBrain,4.560,4816.273,9.108,32432,0.143
RobotBattleLearningBrain,4.511,4830.658,9.171,32524,0.143
RobotBattleLearningBrain,4.572,4845.085,9.146,32452,0.142
RobotBattleLearningBrain,4.572,4859.417,9.077,32524,0.142
RobotBattleLearningBrain,4.503,4873.706,9.102,32402,0.142
RobotBattleLearningBrain,4.519,4887.959,9.052,32512,0.142
RobotBattleLearningBrain,4.530,4902.232,9.067,32526,0.142
RobotBattleLearningBrain,4.530,4916.410,8.974,32522,0.142
RobotBattleLearningBrain,4.543,4931.211,9.572,32396,0.141
RobotBattleLearningBrain,4.467,4945.432,9.073,32524,0.141
RobotBattleLearningBrain,4.570,4959.883,9.188,32522,0.141
RobotBattleLearningBrain,4.760,4975.091,9.769,32522,0.141
RobotBattleLearningBrain,4.611,4990.250,9.819,32488,0.141
RobotBattleLearningBrain,4.495,5004.745,9.283,32394,0.141
RobotBattleLearningBrain,4.603,5019.195,9.151,32524,0.140
RobotBattleLearningBrain,4.548,5033.933,9.264,32524,0.140
RobotBattleLearningBrain,4.482,5048.270,9.150,32524,0.140
RobotBattleLearningBrain,4.520,5062.546,9.062,32452,0.140
RobotBattleLearningBrain,4.483,5076.745,9.039,32430,0.140
RobotBattleLearningBrain,4.475,5091.535,9.626,32618,0.139
RobotBattleLearningBrain,4.491,5105.866,9.137,32394,0.139
RobotBattleLearningBrain,4.557,5120.249,9.138,32526,0.139
RobotBattleLearningBrain,4.522,5134.472,9.017,32522,0.139
RobotBattleLearningBrain,4.511,5148.975,9.265,32492,0.139
RobotBattleLearningBrain,4.574,5163.400,9.149,32522,0.139
RobotBattleLearningBrain,4.521,5177.740,9.126,32426,0.138
RobotBattleLearningBrain,4.515,5192.096,9.137,32524,0.138
RobotBattleLearningBrain,4.495,5206.383,9.091,32454,0.138
RobotBattleLearningBrain,4.557,5220.659,9.040,32526,0.138
RobotBattleLearningBrain,4.539,5234.991,9.098,32424,0.138
RobotBattleLearningBrain,4.524,5249.858,9.632,32486,0.137
RobotBattleLearningBrain,4.616,5264.381,9.189,32526,0.137
RobotBattleLearningBrain,4.482,5278.716,9.138,32524,0.137
RobotBattleLearningBrain,4.545,5292.982,9.038,32454,0.137
RobotBattleLearningBrain,4.562,5307.429,9.185,32562,0.137
RobotBattleLearningBrain,4.754,5322.124,9.236,32396,0.137
RobotBattleLearningBrain,4.588,5336.534,9.130,32526,0.137
RobotBattleLearningBrain,4.487,5350.751,9.038,32524,0.137
RobotBattleLearningBrain,4.538,5365.187,9.188,32396,0.137
RobotBattleLearningBrain,4.538,5379.495,9.082,32526,0.137
RobotBattleLearningBrain,4.523,5393.894,9.170,32522,0.137
RobotBattleLearningBrain,4.542,5409.063,9.931,32524,0.136
RobotBattleLearningBrain,4.494,5423.566,9.281,32454,0.136
RobotBattleLearningBrain,4.563,5437.865,9.056,32486,0.136
RobotBattleLearningBrain,4.607,5452.299,9.114,32562,0.136
RobotBattleLearningBrain,4.463,5466.598,9.130,32392,0.136
RobotBattleLearningBrain,4.486,5480.936,9.171,32524,0.136
RobotBattleLearningBrain,4.496,5495.262,9.123,32522,0.136
RobotBattleLearningBrain,4.527,5509.695,9.206,32396,0.136
RobotBattleLearningBrain,4.524,5523.998,9.096,32522,0.136
RobotBattleLearningBrain,4.512,5538.469,9.240,32522,0.136
RobotBattleLearningBrain,4.707,5553.007,9.137,32524,0.136
RobotBattleLearningBrain,4.482,5567.936,9.729,32454,0.136
RobotBattleLearningBrain,4.467,5582.158,9.074,32432,0.136
RobotBattleLearningBrain,4.541,5596.435,9.060,32526,0.136
RobotBattleLearningBrain,4.539,5610.866,9.193,32524,0.136
RobotBattleLearningBrain,8.577,5629.391,9.237,32454,0.135
RobotBattleLearningBrain,7.804,5653.570,15.079,32562,0.136
RobotBattleLearningBrain,5.699,5670.292,10.245,32396,0.135
RobotBattleLearningBrain,4.734,5687.249,11.349,32524,0.135
RobotBattleLearningBrain,6.538,5706.841,12.059,32524,0.135
RobotBattleLearningBrain,4.871,5722.716,10.235,32524,0.135
RobotBattleLearningBrain,5.352,5738.657,9.822,32454,0.135
RobotBattleLearningBrain,5.196,5762.635,17.466,32526,0.135
RobotBattleLearningBrain,4.911,5778.252,9.940,32522,0.135
RobotBattleLearningBrain,4.845,5793.825,9.958,32396,0.135
RobotBattleLearningBrain,4.805,5809.086,9.702,32526,0.135
RobotBattleLearningBrain,4.901,5824.785,10.014,32522,0.135
RobotBattleLearningBrain,4.506,5839.685,9.650,32394,0.135
RobotBattleLearningBrain,4.542,5854.140,9.211,32526,0.135
RobotBattleLearningBrain,4.857,5869.854,10.053,32522,0.135
RobotBattleLearningBrain,4.875,5885.328,9.819,32524,0.135
RobotBattleLearningBrain,4.897,5900.738,9.745,32452,0.135
RobotBattleLearningBrain,5.044,5916.376,9.821,32524,0.135
RobotBattleLearningBrain,4.878,5932.405,10.383,32520,0.135
RobotBattleLearningBrain,4.857,5947.978,9.935,32394,0.135
RobotBattleLearningBrain,4.973,5963.478,9.760,32526,0.135
RobotBattleLearningBrain,4.890,5979.903,10.762,32520,0.135
RobotBattleLearningBrain,4.808,5995.312,9.830,32392,0.134
RobotBattleLearningBrain,4.864,6010.777,9.828,32524,0.134
RobotBattleLearningBrain,6.730,6031.693,13.172,32522,0.134
RobotBattleLearningBrain,5.359,6050.193,12.112,32524,0.134
RobotBattleLearningBrain,4.719,6066.528,10.724,32454,0.134
RobotBattleLearningBrain,4.557,6081.506,9.681,32524,0.134
RobotBattleLearningBrain,6.823,6101.443,12.247,32428,0.134
RobotBattleLearningBrain,5.152,6117.234,9.898,32520,0.134
RobotBattleLearningBrain,4.706,6132.989,10.296,32490,0.133
RobotBattleLearningBrain,5.704,6150.484,10.933,32522,0.133
RobotBattleLearningBrain,5.707,6169.867,12.638,32396,0.133
RobotBattleLearningBrain,4.692,6186.241,10.826,32526,0.133
RobotBattleLearningBrain,4.527,6201.141,9.655,32522,0.133
RobotBattleLearningBrain,4.781,6218.668,11.882,32492,0.133
RobotBattleLearningBrain,4.542,6233.854,9.663,32452,0.133
RobotBattleLearningBrain,4.605,6248.547,9.401,32466,0.133
RobotBattleLearningBrain,4.508,6263.069,9.328,32524,0.133
RobotBattleLearningBrain,4.612,6277.824,9.437,32490,0.133
RobotBattleLearningBrain,4.480,6292.232,9.233,32560,0.133
RobotBattleLearningBrain,4.518,6306.480,9.051,32486,0.133
RobotBattleLearningBrain,4.517,6320.851,9.159,32392,0.133
RobotBattleLearningBrain,4.508,6335.114,9.073,32526,0.133
RobotBattleLearningBrain,4.508,6349.439,9.129,32524,0.133
